,cosine,dates,format_change?,sentiment_d,date_delta
NKTR,0.9855145252362582,"['2019-03-01', '2018-03-01']",0,0.07688992712104194,2
NTAP,0.9920750905526945,"['2019-06-18', '2018-06-19']",0,0.046180222318983846,3
NWL,0.9873577068739934,"['2019-03-04', '2018-03-01']",0,0.12096470075696739,1
NFX,0.9804125092734446,"['2018-02-20', '2017-02-21']",0,-0.003138167421462363,3
NEM,0.9929777072995656,"['2019-02-21', '2018-02-22']",0,-0.15281927739593837,3
NWSA,0.9902313403687273,"['2019-08-13', '2018-08-15']",0,0.05277002440353097,4
NWS,0.9902313403687273,"['2019-08-13', '2018-08-15']",0,0.05277002440353097,4
NEE,0.9966193271878198,"['2019-02-15', '2018-02-16']",0,-0.030617380252855854,3
NLSN,0.9915208346757806,"['2019-02-28', '2018-02-08']",0,-0.018637582516723216,-12
NKE,0.9904178357574661,"['2019-07-23', '2018-07-25']",0,-0.02170700901453824,4
NI,0.9294086651437231,"['2019-02-20', '2018-02-20']",0,0.0639641461275586,2
NBL,0.08626099678973516,"['2019-02-19', '2018-02-20']",1,0.4184526213636963,3
JWN,0.9688399431262064,"['2019-03-18', '2018-03-19']",0,-0.010015291200764989,3
NSC,0.9947493025890467,"['2019-02-08', '2018-02-05']",0,0.10588657969121523,-1
NTRS,0.9978901094037762,"['2019-02-26', '2018-02-27']",0,-0.07364173833524068,3
NOC,0.984046036616673,"['2019-01-31', '2018-01-29']",0,-0.03135202901426696,0
NCLH,0.9907025166365333,"['2019-02-27', '2018-02-27']",0,-0.17058136754804298,2
