,cosine,dates,format_change,sentiment_d,date_delta
CAI,0.9852253590346861,"['2019-03-05', '2018-02-27']",0,-0.040775216421127004,-2
CAL,0.9869681260752045,"['2019-04-03', '2018-04-04']",0,-0.018208914239329174,3
CRC,0.9840649440587113,"['2019-02-27', '2018-02-27']",0,0.12394888888054682,2
CWT,0.9951015854556619,"['2019-02-28', '2018-03-01']",0,-0.07403711344661588,3
ELY,0.995897308702023,"['2019-03-01', '2018-02-27']",0,0.008561493110777202,0
CPE,0.9888799303290449,"['2019-02-27', '2018-02-28']",0,0.018279894823177295,3
CBM,0.983575244709454,"['2019-02-13', '2018-02-08']",0,0.05002958181746037,-1
CPT,0.995619096645646,"['2019-02-15', '2018-02-16']",0,-0.06974001722678931,3
CPB,0.9660585027009577,"['2019-09-26', '2018-09-27']",0,0.03363281665234191,3
CWH,0.9880983605808342,"['2019-03-15', '2018-03-13']",0,0.034974475254714955,0
CMD,0.9763412990047562,"['2019-09-25', '2018-09-27']",0,0.13004121338098976,4
COF,0.08247439934458353,"['2019-02-20', '2018-02-21']",1,-0.056870439423327354,3
CSU,0.9944160650674776,"['2019-03-01', '2018-03-02']",0,0.02112227370790211,3
BXMT,0.9954847262054711,"['2019-02-12', '2018-02-13']",0,-0.01341800626112144,3
CPRI,0.9731406059725888,"['2019-05-29', '2018-05-30']",0,-0.0009121444335081212,3
CMO,0.9938788745539017,"['2019-02-22', '2018-02-20']",0,0.09732985510740931,0
CRR,0.9766149755410746,"['2019-02-28', '2018-03-08']",0,0.08821249751171169,8
CAH,0.9936715413415357,"['2019-08-20', '2018-08-22']",0,-0.11171878311496145,4
CRCM,0.9860914908562807,"['2019-03-07', '2018-02-27']",0,-0.04370524414980149,-4
CSL,1.0000000000000027,"['2019-02-14', '2018-02-16']",0,0.0,4
KMX,0.994966467353589,"['2019-04-19', '2018-04-24']",0,-0.01906089271322888,5
CCL,0.9805743922870999,"['2019-01-28', '2018-01-29']",0,0.12695781048224425,3
CUK,0.9805743922870999,"['2019-01-28', '2018-01-29']",0,0.12695781048224425,3
CRS,0.9930744093428869,"['2019-08-29', '2018-08-14']",0,0.03365311809248883,-9
CSV,0.9740955216081902,"['2019-02-28', '2018-02-21']",0,0.10125363842145542,-3
CRI,0.9943958656795792,"['2019-02-25', '2018-02-27']",0,-0.003959603885803485,4
CVNA,0.10111859453362974,"['2019-02-27', '2018-03-06']",1,0.6378378070158232,7
CSLT,0.9896090689004684,"['2019-03-01', '2018-03-01']",0,0.011923114826765032,2
CTLT,0.08751656841740728,"['2019-08-27', '2018-08-28']",1,0.2662962842160451,3
CTT           ,0.9431724635622657,"['2019-03-01', '2018-03-01']",0,0.015685558613625444,2
CAT,0.9953592964125005,"['2019-02-14', '2018-02-15']",0,0.011329168202603903,3
CATO,0.986581970418127,"['2019-03-27', '2018-03-27']",0,-0.02828659966939429,2
CBZ,0.9916417841289068,"['2019-02-28', '2018-03-01']",0,0.023897148846481146,3
CBL,0.9892830201482155,"['2019-03-01', '2018-03-01']",0,-0.08466300410079007,2
CBRE,0.9882648045656511,"['2019-03-01', '2018-03-01']",0,0.02832526918512385,2
CBS,0.06940490912728557,"['2019-02-15', '2018-02-20']",1,0.6137613412716972,5
FUN,0.9944519745513439,"['2019-02-22', '2018-02-23']",0,-0.03404458004265705,3
CDR,0.9940815384482671,"['2019-02-14', '2018-02-12']",0,0.06116755674404823,0
CE,0.9936465767191259,"['2019-02-07', '2018-02-09']",0,0.07445523026556186,4
CNC,0.9867169492493495,"['2019-02-19', '2018-02-20']",0,-0.02895448411164139,3
CNP,0.9394454402120125,"['2019-02-28', '2018-02-22']",0,-0.226800651300767,-2
CCS,0.9823295344756945,"['2019-02-13', '2018-03-01']",0,-0.050145654834052276,14
